distance,altitude
0.0,31.8
5.5,31.9
10.0,32.0
14.8,31.9
19.3,31.8
22.8,31.8
27.2,31.7
31.9,31.6
36.9,31.4
41.6,31.3
45.9,31.1
50.0,31.0
54.0,30.8
58.4,30.7
62.5,30.5
66.6,30.3
71.1,30.9
75.3,31.1
80.9,31.3
87.6,31.6
92.0,31.8
96.4,32.0
100.8,32.0
104.6,32.0
108.2,32.0
112.0,32.0
115.1,32.0
118.8,32.0
122.7,32.0
126.8,31.1
130.9,30.9
134.9,30.7
138.9,30.5
142.7,30.0
148.9,30.0
152.6,30.1
156.1,30.1
159.5,30.2
162.8,30.2
166.5,30.3
170.1,30.3
173.7,30.3
177.0,30.3
183.2,30.4
186.8,30.4
190.3,30.4
193.6,30.5
197.0,30.5
200.4,30.4
203.8,30.4
207.1,30.5
210.3,30.5
213.6,30.5
216.8,30.5
222.4,30.5
227.8,30.5
230.9,30.5
234.1,30.5
237.4,30.5
241.1,30.5
245.2,30.4
249.6,30.4
254.0,30.4
258.2,30.3
262.4,30.3
266.4,30.3
270.5,30.3
274.3,30.3
277.9,30.3
281.9,30.3
286.1,30.3
290.4,30.4
294.6,30.4
298.2,30.5
301.6,30.5
305.2,30.6
308.6,30.7
312.3,30.7
316.4,30.8
320.5,30.9
324.3,30.9
328.0,31.0
331.6,31.0
335.1,31.0
338.9,31.1
342.7,31.1
346.5,31.2
350.2,31.2
354.1,31.3
358.0,31.4
361.7,31.4
365.8,31.5
369.8,31.6
373.0,31.7
376.4,31.8
379.9,31.8
383.2,31.9
386.4,32.0
389.8,32.1
394.2,32.3
398.1,32.4
402.0,32.5
405.7,32.6
409.4,32.7
413.1,32.8
416.9,32.8
420.3,32.9
423.9,33.0
427.6,33.0
431.8,33.0
435.9,33.0
440.5,33.0
444.3,33.0
447.9,32.9
451.4,32.9
454.7,32.9
458.2,32.9
461.7,32.9
465.1,32.9
468.7,32.9
471.8,32.9
475.3,32.9
478.9,32.9
482.5,32.9
485.7,33.0
492.2,32.5
497.0,32.0
501.8,31.4
505.4,31.0
508.6,30.6
514.8,30.0
519.0,30.0
524.2,30.2
529.6,30.2
534.6,30.2
539.2,30.2
542.8,30.2
545.9,30.2
549.8,30.2
554.0,30.2
558.3,30.2
562.5,30.2
567.6,30.2
573.1,30.1
577.7,30.1
581.5,30.0
584.8,30.0
588.0,30.0
591.2,30.0
594.2,29.9
600.1,29.8
603.8,29.7
608.0,29.6
612.0,29.5
615.6,29.4
619.1,29.4
622.7,29.3
626.2,29.2
629.7,29.1
633.2,29.1
637.1,29.0
640.8,29.0
644.2,29.0
647.5,29.0
650.7,29.0
653.7,29.0
656.9,29.0
660.0,29.0
663.0,29.0
669.2,29.0
673.0,29.0
676.9,29.0
680.8,29.0
684.5,29.0
688.1,29.0
691.8,29.0
695.2,29.0
698.7,29.0
706.0,29.0
711.6,29.0
715.6,29.0
719.4,29.0
722.8,29.0
726.4,29.0
730.2,29.0
734.2,29.0
738.2,29.0
742.1,29.0
746.3,29.0
749.7,29.0
752.9,29.0
756.3,29.0
759.4,29.0
763.4,29.0
767.7,29.0
771.9,29.0
778.0,29.0
785.0,28.8
791.8,28.2
798.3,27.6
805.2,27.1
813.6,26.4
822.2,25.5
829.8,24.6
835.9,24.0
840.1,24.1
844.3,24.2
847.6,24.3
851.9,24.4
857.3,24.5
862.5,24.6
867.1,24.6
872.9,24.2
876.3,24.1
880.3,23.8
883.9,23.7
889.7,23.4
892.9,23.0
896.1,23.0
899.4,23.4
903.2,23.6
906.9,23.7
910.0,23.8
913.1,24.0
918.1,24.2
923.8,24.5
928.0,24.7
931.6,24.9
936.1,25.2
939.2,25.4
942.7,25.7
946.3,25.9
950.1,26.0
954.2,26.0
957.9,26.0
961.5,26.0
965.1,26.0
968.4,26.0
974.1,26.0
977.5,26.0
980.6,26.0
986.6,26.0
992.0,26.0
997.5,26.1
1000.7,26.2
1004.1,26.3
1007.8,26.3
1011.2,26.4
1014.7,26.5
1018.1,26.5
1022.1,26.6
1025.1,26.6
1028.2,26.7
1031.6,26.7
1035.0,26.8
1038.5,26.8
1041.8,26.9
1045.2,26.9
1048.6,27.0
1052.3,27.1
1056.0,27.1
1059.4,27.2
1063.4,27.4
1067.0,27.5
1073.2,27.6
1076.6,27.7
1079.8,27.8
1082.8,27.9
1086.0,28.0
1089.2,28.0
1093.2,28.0
1097.9,28.0
1102.6,28.1
1106.9,28.2
1111.0,28.3
1115.3,28.4
1119.7,28.5
1123.8,28.6
1127.8,28.7
1131.7,28.8
1135.3,28.9
1138.7,29.0
1142.0,29.0
1145.6,29.1
1148.9,29.2
1153.8,29.4
1159.1,29.7
1163.1,29.9
1167.2,30.0
1171.5,30.2
1175.6,30.3
1180.0,30.4
1184.4,30.6
1188.7,30.8
1192.3,31.0
1195.8,31.1
1199.5,31.2
1203.1,31.3
1207.0,31.4
1211.1,31.5
1215.2,31.6
1219.4,31.6
1223.0,31.6
1228.4,31.5
1233.7,31.4
1236.7,31.4
1239.9,31.3
1245.9,31.1
1249.0,31.0
1252.2,33.0
1255.5,33.0
1259.4,33.0
1264.0,33.0
1268.1,33.0
1271.9,33.0
1275.7,33.0
1283.7,33.0
1289.5,33.0
1294.8,32.8
1298.8,32.6
1302.1,32.5
1305.2,32.4
1308.3,32.3
1311.5,32.2
1316.3,32.0
1322.2,32.0
1327.9,31.9
1331.2,31.8
1334.4,31.7
1338.1,31.6
1342.1,31.5
1346.0,31.4
1350.1,31.2
1354.0,31.0
1357.8,30.8
1360.9,30.7
1364.0,30.6
1367.5,30.4
1371.1,30.3
1375.0,30.1
1378.8,30.0
1382.8,30.0
1386.3,30.0
1389.5,29.9
1393.2,29.8
1397.5,29.7
1401.7,29.7
1406.0,29.6
1410.6,29.5
1415.1,29.5
1418.5,29.4
1423.4,29.4
1427.2,29.4
1432.5,29.3
1437.6,29.3
1442.6,29.3
1448.5,29.3
1453.6,29.3
1459.2,29.3
1462.2,29.3
1465.7,29.4
1469.2,29.3
1475.1,29.3
1478.6,29.3
1481.7,29.2
1486.5,29.2
1492.2,29.2
1495.3,29.3
1500.0,29.3
1504.5,29.4
1508.7,29.4
1512.4,29.4
1516.3,29.5
1520.1,29.5
1523.8,29.5
1527.4,29.5
1531.0,29.6
1534.0,29.6
1537.5,29.7
1541.5,29.7
1544.9,29.7
1548.6,29.7
1552.0,29.7
1557.0,29.7
1561.0,29.7
1565.1,29.7
1568.9,29.7
1573.1,29.8
1577.0,29.8
1580.9,29.8
1584.2,29.8
1587.3,29.8
1593.3,29.8
1597.0,29.9
1601.1,30.0
1605.4,30.0
1609.2,30.0
1612.9,30.0
1616.4,30.0
1620.2,30.0
1624.4,30.0
1629.0,30.0
1632.1,30.0
1635.7,30.0
1639.3,30.0
1642.4,30.0
1647.3,30.0
1652.8,30.0
1657.5,29.8
1661.9,29.6
1665.7,29.5
1671.8,29.2
1676.9,29.1
1682.9,28.9
1686.5,28.8
1690.2,28.7
1694.0,28.5
1698.4,28.2
1702.4,28.0
1706.5,28.0
1710.0,28.0
1715.8,28.0
1721.8,28.0
1725.3,28.2
1729.4,28.2
