distance,altitude
0.0,156.2
3.3,156.7
6.9,156.9
11.0,157.0
14.8,157.0
18.4,157.0
22.6,157.0
26.1,156.9
29.7,156.9
32.9,156.9
36.2,156.8
39.4,156.6
43.0,156.5
46.5,156.3
50.5,156.1
53.6,156.0
57.3,156.0
61.3,156.2
65.8,156.4
68.9,156.3
72.1,156.2
76.1,156.3
80.4,156.4
84.7,156.7
87.8,156.9
90.9,157.0
94.8,157.0
98.8,157.7
101.9,159.7
105.0,161.7
109.3,164.5
113.1,166.9
117.1,168.0
121.1,168.0
124.2,168.3
128.1,168.8
132.4,169.5
135.9,170.1
139.0,170.7
142.3,171.2
146.3,171.7
150.5,172.5
154.1,173.2
157.8,173.8
161.2,174.2
165.3,174.6
169.9,175.4
172.9,176.1
177.2,177.0
180.3,177.4
184.2,178.0
188.2,178.5
191.4,178.8
195.4,179.3
199.5,180.2
203.4,181.1
206.4,181.8
209.5,182.6
213.5,183.6
217.0,184.6
220.9,185.6
224.2,186.5
228.2,187.3
231.8,188.1
236.1,189.0
240.0,189.0
243.8,189.0
248.0,189.0
251.5,189.0
255.7,189.0
258.9,189.0
262.3,189.0
265.6,189.0
269.4,189.0
273.6,189.0
276.8,189.0
280.1,189.0
283.3,189.0
286.4,189.2
289.7,189.5
293.2,189.9
296.3,190.1
300.1,190.2
303.8,190.4
306.9,190.6
310.4,190.8
314.1,191.2
318.1,191.6
322.0,191.9
325.8,192.0
329.2,192.1
333.2,192.4
336.7,192.7
340.8,192.9
345.1,193.0
348.7,193.4
353.2,193.9
357.1,194.2
360.2,194.4
363.8,194.5
367.2,194.4
370.3,194.4
374.4,195.0
377.5,195.4
380.8,195.9
384.6,196.5
388.4,197.2
391.9,197.8
395.7,198.5
399.1,199.2
402.2,199.4
405.4,199.7
409.5,200.1
412.8,200.5
417.2,201.1
420.2,201.6
424.1,202.5
427.8,203.4
432.0,204.2
436.3,205.0
440.4,205.8
444.5,206.5
448.5,207.3
452.6,208.1
457.0,209.0
461.1,209.8
465.1,210.5
468.2,211.0
471.6,211.6
474.6,212.1
478.1,212.7
481.1,213.2
484.9,213.8
488.4,214.3
492.2,215.0
496.6,216.2
500.8,217.2
504.5,217.7
508.3,218.4
511.5,219.2
515.0,220.2
518.3,221.1
521.7,222.0
524.9,222.9
528.4,223.8
532.1,224.7
536.0,225.7
539.1,226.4
543.0,227.3
546.0,227.8
549.4,228.3
552.5,228.8
556.7,229.4
560.6,230.1
563.8,230.9
567.6,231.9
570.9,232.2
574.9,232.8
578.3,233.5
581.6,234.2
585.0,235.1
588.8,236.2
592.7,237.1
596.8,238.2
600.0,238.9
603.2,239.6
606.8,240.3
610.4,240.7
613.9,241.0
617.5,241.2
621.0,241.1
624.6,241.0
628.1,241.8
631.2,243.1
634.7,244.7
637.8,246.1
640.8,247.6
644.5,249.4
647.7,250.9
651.1,252.5
654.6,254.1
657.7,255.6
661.0,257.1
664.1,258.6
667.3,260.2
670.5,261.2
673.7,261.9
677.0,262.6
680.2,263.4
683.6,264.1
686.9,264.9
690.1,265.7
693.7,266.6
697.8,268.0
701.7,269.0
705.9,270.0
709.3,271.4
713.3,273.2
717.5,274.9
721.4,275.9
725.0,276.8
728.7,277.6
731.7,278.2
736.3,280.2
739.7,281.8
742.7,283.2
745.8,284.4
749.5,285.7
753.4,286.1
756.9,287.3
760.4,288.8
763.5,288.7
767.4,290.3
771.2,291.9
774.2,292.1
778.7,294.1
782.6,296.0
785.8,296.4
789.6,298.1
793.4,298.2
797.0,300.3
800.2,300.7
804.5,301.3
808.5,303.6
811.6,304.2
815.5,306.7
818.8,308.8
822.3,309.6
825.4,311.6
828.8,312.3
832.5,314.3
836.2,316.0
839.9,316.4
843.7,316.9
847.2,317.3
850.7,317.7
854.5,318.2
858.4,318.4
862.2,318.6
865.8,318.8
869.2,319.0
873.2,319.1
877.3,319.4
880.7,319.6
884.4,319.9
888.8,320.3
892.1,320.5
895.3,320.8
898.9,321.0
902.4,321.2
905.6,321.3
909.2,321.3
912.4,321.3
916.0,321.4
919.6,321.6
923.2,321.8
926.7,322.3
930.0,322.9
933.8,323.7
936.9,324.8
941.2,326.2
945.2,334.8
948.8,338.9
953.7,341.9
957.4,350.2
960.5,356.3
964.1,364.6
967.2,372.8
971.4,372.8
974.4,372.7
978.2,372.8
981.4,373.4
984.8,373.9
988.0,374.6
992.0,375.9
995.4,377.0
998.8,378.1
1002.3,379.5
1005.7,380.9
1009.3,382.2
1012.5,383.5
1015.5,384.6
1019.1,386.0
1022.4,387.2
1025.5,388.4
1029.1,389.7
1032.5,390.9
1035.6,392.0
1039.3,393.3
1042.6,394.4
1046.0,395.7
1049.1,396.8
1052.2,398.0
1055.9,399.3
1059.3,400.6
1062.3,402.2
1065.4,403.8
1068.9,405.6
1071.9,407.3
1075.4,409.2
1078.4,410.8
1083.0,413.2
1086.3,414.8
1090.1,415.9
1093.3,416.6
1096.4,417.4
1100.5,418.6
1103.6,419.6
1107.5,420.9
1110.5,421.7
1113.6,422.2
1117.4,422.9
1121.4,423.8
1126.1,426.1
1129.9,427.3
1133.2,428.2
1136.2,429.1
1139.7,430.2
1142.7,431.0
1146.2,431.7
1149.4,432.3
1152.9,433.3
1156.0,434.2
1159.3,435.1
1162.8,436.4
1166.0,437.5
1169.5,438.8
1172.8,440.1
1176.4,441.5
1180.0,442.9
1183.8,444.3
1187.2,445.9
1190.3,447.8
1193.8,449.6
1197.1,450.8
1200.4,452.1
1204.4,454.3
1207.9,456.4
1211.1,458.2
1215.1,460.3
1218.5,461.9
1222.0,463.3
1225.0,464.4
1228.6,465.6
1231.7,467.1
1235.7,469.4
1239.0,471.3
1242.7,473.4
1246.3,475.5
1250.4,477.2
1253.8,478.6
1257.3,480.1
1260.5,481.6
1264.1,483.3
1267.4,484.9
1270.5,485.7
1274.1,486.7
1277.6,487.6
1281.0,488.9
1284.1,490.0
1287.4,491.4
1290.7,492.5
1294.2,492.0
1297.4,491.6
1300.8,491.2
1306.2,490.5
1309.5,490.0
1313.1,495.5
1316.5,498.5
1319.8,501.3
1323.1,502.8
1326.3,504.2
1329.6,505.7
1333.2,508.1
1336.4,510.3
1339.7,512.2
1343.0,513.4
1346.5,514.6
1349.7,515.8
1352.9,517.1
1356.0,518.4
1359.3,520.0
1362.5,522.0
1365.8,524.0
1368.9,525.8
1372.0,527.0
1375.4,528.3
1378.7,529.7
1381.7,531.8
1385.2,534.2
1389.9,536.8
1393.1,538.4
1396.6,540.1
1399.9,541.7
1402.9,543.0
1407.4,544.0
1410.4,544.6
1413.9,546.4
1417.8,548.5
1421.1,550.5
1425.0,553.6
1428.4,556.3
1431.5,559.0
1434.8,562.1
1437.8,564.9
1441.5,568.3
1444.5,571.2
1447.8,574.3
1451.3,576.0
1454.9,577.1
1458.2,578.0
1462.1,578.0
1465.2,578.0
1468.2,578.0
1471.4,578.0
1477.6,576.1
1481.2,574.1
1486.9,571.1
1490.0,569.5
1493.4,567.9
1496.6,566.5
1500.4,564.7
1503.4,563.4
1506.5,560.7
1509.7,556.7
1512.9,552.8
1516.5,548.3
1519.7,544.5
1522.7,541.1
1526.0,537.3
1529.2,535.7
1533.0,535.1
1536.3,534.5
1541.8,533.5
1545.6,532.6
1549.7,531.7
1552.8,531.0
1557.2,529.8
1561.6,528.4
1565.8,527.1
1569.0,526.0
1572.1,529.3
1575.3,529.7
1578.3,530.2
1582.0,530.8
1585.6,531.4
1588.6,531.8
1592.1,533.0
1595.1,534.1
1598.7,535.4
1602.3,536.8
1606.5,538.3
1610.1,539.6
1613.5,540.3
1616.9,541.0
1620.3,541.7
1623.5,542.4
1626.5,543.0
1629.8,543.7
1632.8,544.3
1636.7,545.2
1639.8,546.0
1644.5,547.1
1648.1,547.9
1651.3,548.6
1655.9,550.2
1659.1,551.5
1662.2,552.8
1666.3,554.4
1670.2,555.9
1673.5,557.3
1677.2,558.7
1680.6,560.0
1683.8,561.1
1686.9,562.3
1690.4,563.6
1694.2,565.0
